titulo,tipo_pi,centro/unidade,grande_area_conhecimento,area_conhecimento
"AgroFácil - Aplicativo para Gerenciar Pequenas e Médias Fazendas Agrícolas","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Software Básico"
"ManuChain: Registro de manutenções veiculares na blockchain","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Sistemas de Informação"
"KIT DE PÉS INSTRUMENTADOS PARA CAMAS HOSPITALARES","Modelo de Utilidade","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Engenharia Biomédica"
"PROCESSO DE OBTENÇÃO E ENCAPSULAÇÃO DE EXTRATO OBTIDO DA CASCA DE UMBU, GENÓTIPO BGU 45, COM CÉLULAS PLASMOLISADA E NÃO-PLASMOLISADA DE SACCHAROMYCES CEREVISIAE","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Agrárias","Aproveitamento de Subprodutos"
"+Marinha - Uma Plataforma para Disponibilização de Serviços da Marinha do Brasil.","Registro de Software","CAMPUS PROFESSOR ALBERTO CARVALHO","Ciências Exatas e da Terra","Software Básico"
"AGENDE-ME - UMA PLATAFORMA PARA AGENDAMENTO DE SERVIÇOS PÚBLICOS MUNICIPAIS","Registro de Software","CAMPUS PROFESSOR ALBERTO CARVALHO","Ciências Exatas e da Terra","Software Básico"
"FORMULAÇÃO FARMACÊUTICA CONTENDO NEROL E BETACICLODEXTRINA: MÉTODO DE OBTENÇÃO, CARACTERIZAÇÃO E EFEITO CARDIOPROTETOR NA LESÃO DE ISQUEMIA/REPERFUSÃO CARDÍACA","Patente","CENTRO DE CIÊNCIAS BIOLÓGICAS E DA SAÚDE","Ciências Biológicas","Farmacologia"
"BEBIDA LÁCTEA FERMENTADA PROBIÓTICA COM NÉCTAR DA CASCA DE UMBU  (Spondias tuberosa)","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Agrárias","Tecnologia de Produtos de Origem Animal"
"MEDIDOR REMOTO DE ÍNDICES DE CONFORTO TÉRMICO EQUIPADO COM GLOBO NEGRO","Desenho Industrial","CENTRO DE CIÊNCIAS AGRÁRIAS APLICADAS","Ciências Agrárias","Engenharia de Construções Rurais"
"Agrigrãos","Marca","CENTRO DE CIÊNCIAS AGRÁRIAS APLICADAS","Ciências Agrárias","Armazenamento de Produtos Agrícolas"
"PERFILÔMETRO TRANSVERSAL PARA ESTRADAS COM SENSORES A LASER","Patente","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Engenharias","Pavimentos"
"PetIndica v0.1","Registro de Software","CENTRO DE CIÊNCIAS EXATAS E TECNOLOGIA","Ciências Exatas e da Terra","Metodologia e Técnicas da Computação"
